,CIK,Company_Name,Filing,Date,Hedge_FalsePositive
0,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2008-06-09,1
1,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-Q,2008-09-05,1
2,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2008-12-22,1
3,61478,ADC TELECOMMUNICATIONS INC (CIK 0000061478),10-K,2010-11-23,1
4,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2005-05-13,1
5,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2005-09-27,1
6,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2005-11-14,1
7,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-02-14,1
8,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-05-15,1
9,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2006-09-15,1
10,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2006-11-14,1
11,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-02-12,1
12,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-05-15,1
13,319126,AFP IMAGING CORP (CIK 0000319126),10-K,2007-10-12,1
14,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2007-11-14,1
15,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2008-02-14,1
16,319126,AFP IMAGING CORP (CIK 0000319126),10-Q,2008-05-15,1
17,6201,AMR CORP (AAL) (CIK 0000006201),10-Q,2000-10-26,1
18,6201,AMR CORP (AAL) (CIK 0000006201),10-Q,2001-04-24,1
19,6201,AMR CORP (AAL) (CIK 0000006201),10-K,2003-04-15,1
20,2601,AEROFLEX INC (CIK 0000002601),10-Q,2009-05-14,1
21,2601,AEROFLEX INC (CIK 0000002601),10-K,2009-09-02,1
22,2601,AEROFLEX INC (CIK 0000002601),10-Q,2009-11-09,1
23,2601,AEROFLEX INC (CIK 0000002601),10-Q,2010-02-11,1
24,2601,AEROFLEX INC (CIK 0000002601),10-Q,2010-05-12,1
25,2601,AEROFLEX INC (CIK 0000002601),10-K,2010-09-02,1
26,2601,AEROFLEX INC (CIK 0000002601),10-Q,2010-11-09,1
27,2601,AEROFLEX INC (CIK 0000002601),10-Q,2011-02-09,1
28,2601,AEROFLEX INC (CIK 0000002601),10-Q,2011-05-10,1
29,2601,AEROFLEX INC (CIK 0000002601),10-Q,2011-05-10,1
30,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2009-02-27,1
31,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2009-05-08,1
32,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2009-08-07,1
33,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2009-11-06,1
34,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2010-03-01,1
35,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2010-05-07,1
36,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2010-08-06,1
37,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2010-11-05,1
38,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2011-02-25,1
39,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2011-05-09,1
40,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2011-08-05,1
41,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2011-11-09,1
42,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-K,2012-02-28,1
43,718877,"Activision Blizzard, Inc. (ATVI) (CIK 0000718877)",10-Q,2012-05-09,1
