,CIK,Company_Name,Filing,Date
0,29590,UNITED DOMINION INDUSTRIES LIMITED (CIK 0000029590),10-Q,2000-11-09
1,29590,UNITED DOMINION INDUSTRIES LIMITED (CIK 0000029590),10-Q,2000-08-14
2,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2002-05-14
3,319120,ACKERLEY GROUP INC (CIK 0000319120),10-K,2002-04-01
4,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-11-14
5,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-08-14
6,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-05-15
7,319120,ACKERLEY GROUP INC (CIK 0000319120),10-K,2001-04-02
8,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2000-11-14
9,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2000-08-14
10,2070,ACME ELECTRIC CORP (CIK 0000002070),10-Q,2000-11-07
11,2070,ACME ELECTRIC CORP (CIK 0000002070),10-K,2000-09-29
12,313798,ADAC LABORATORIES (CIK 0000313798),10-Q,2000-08-14
13,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2013-11-19
14,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2013-08-23
15,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2013-05-20
16,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2013-04-10
17,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2012-11-19
18,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2012-08-20
19,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2012-05-14
20,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2012-04-16
21,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2011-11-18
22,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q/A,2011-08-31
23,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2011-08-19
24,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2011-05-13
25,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2011-04-14
26,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2010-11-15
27,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2010-08-23
28,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2010-05-21
29,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2010-03-31
30,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2009-11-16
31,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2009-08-14
32,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2009-05-20
33,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2009-04-01
34,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2008-11-14
35,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2008-08-14
36,1096298,"ASIA8, INC. (CIK 0001096298)",10-Q,2008-05-15
37,1096298,"ASIA8, INC. (CIK 0001096298)",10-K,2008-04-11
38,319489,ADVEST GROUP INC (CIK 0000319489),10-K/A,2001-01-29
39,319489,ADVEST GROUP INC (CIK 0000319489),10-K,2001-01-16
40,319489,ADVEST GROUP INC (CIK 0000319489),10-Q,2000-08-11
41,3662,SUNBEAM CORP/FL/ (CIK 0000003662),10-Q,2002-11-19
42,3662,SUNBEAM CORP/FL/ (CIK 0000003662),10-Q,2000-11-17
43,3662,SUNBEAM CORP/FL/ (CIK 0000003662),10-Q,2000-08-16
44,3753,ALLEN ORGAN CO (CIK 0000003753),10-K,2005-03-31
45,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2004-11-15
46,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2004-08-12
47,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2004-05-14
48,3753,ALLEN ORGAN CO (CIK 0000003753),10-K,2004-03-30
49,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2003-11-07
50,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2003-08-13
51,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2003-05-08
52,3753,ALLEN ORGAN CO (CIK 0000003753),10-K,2003-03-25
53,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2002-11-07
54,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2002-08-07
55,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2002-04-25
56,3753,ALLEN ORGAN CO (CIK 0000003753),10-K,2002-03-12
57,3753,ALLEN ORGAN CO (CIK 0000003753),10-Q,2001-11-09
