,CIK,Company_Name,Filing,Date,Hedge_Positive,Hedge_FalsePositive
0,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2000-08-14,1,
1,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2000-11-14,1,
2,319120,ACKERLEY GROUP INC (CIK 0000319120),10-K,2001-04-02,1,
3,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-05-15,1,
4,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-08-14,1,
5,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2001-11-14,1,
6,319120,ACKERLEY GROUP INC (CIK 0000319120),10-K,2002-04-01,1,
7,319120,ACKERLEY GROUP INC (CIK 0000319120),10-Q,2002-05-14,1,
8,313798,ADAC LABORATORIES (CIK 0000313798),10-Q,2000-08-14,1,
9,319489,ADVEST GROUP INC (CIK 0000319489),10-K,2001-01-16,1,
10,3662,SUNBEAM CORP/FL/ (CIK 0000003662),10-Q,2002-11-19,1,
11,5103,AMERICAN GENERAL CORP /TX/ (CIK 0000005103),10-Q,2000-08-07,1,
12,5103,AMERICAN GENERAL CORP /TX/ (CIK 0000005103),10-Q,2000-11-14,1,
13,5103,AMERICAN GENERAL CORP /TX/ (CIK 0000005103),10-Q,2001-05-15,1,
14,5103,AMERICAN GENERAL CORP /TX/ (CIK 0000005103),10-Q,2001-08-14,1,
15,7973,ASSOCIATES CORPORATION OF NORTH AMERICA (CIK 0000007973),10-Q,2000-08-10,1,
16,7973,ASSOCIATES CORPORATION OF NORTH AMERICA (CIK 0000007973),10-Q,2000-11-14,1,
17,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2000-08-08,1,
18,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2000-11-13,1,
19,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2001-05-14,1,
20,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2001-08-15,1,
21,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2001-11-13,1,
22,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2002-05-13,1,
23,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2002-08-12,1,
24,310979,FIRST BANKS AMERICA INC (CIK 0000310979),10-Q,2002-11-12,1,
25,9749,BANKERS TRUST CORP (CIK 0000009749),10-K,2002-04-01,1,
26,11454,BERGEN BRUNSWIG CORP (CIK 0000011454),10-Q,2001-02-14,1,
27,12654,BLOCK DRUG CO INC (CIK 0000012654),10-Q,2000-08-14,1,
28,12654,BLOCK DRUG CO INC (CIK 0000012654),10-Q,2000-11-14,1,
29,817945,BURNS INTERNATIONAL SERVICES CORP (CIK 0000817945),10-Q,2000-08-14,1,
30,846616,BREMER FINANCIAL CORP (CIK 0000846616),10-Q,2005-08-12,1,
31,846616,BREMER FINANCIAL CORP (CIK 0000846616),10-Q,2005-11-10,1,
32,846616,BREMER FINANCIAL CORP (CIK 0000846616),10-K,2006-03-23,1,
33,846616,BREMER FINANCIAL CORP (CIK 0000846616),10-Q,2006-05-11,1,
34,846616,BREMER FINANCIAL CORP (CIK 0000846616),10-Q,2006-08-11,1,
35,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2007-01-16,1,
36,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2007-04-17,1,
37,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-K,2007-08-30,1,
38,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2007-10-16,1,
39,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2008-01-15,1,
40,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2008-04-15,1,
41,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2008-08-29,1,
42,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2008-10-14,1,
43,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-01-13,1,
44,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-04-14,1,
45,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2009-08-27,1,
46,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-10-13,1,
47,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-01-12,1,
48,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-06-15,1,
49,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-09-14,1,
50,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-12-14,1,
51,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2011-04-14,1,
52,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-06-14,1,
53,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-09-13,1,
54,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-12-13,1,
55,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2012-06-12,1,
56,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2012-09-12,1,
57,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2012-12-11,1,
58,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2013-04-26,1,
59,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2013-04-26,1,
60,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-06-18,1,
61,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-09-19,1,
62,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2013-12-17,1,
63,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-K,2014-04-23,1,
64,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2014-06-12,1,
65,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2007-01-16,1,
66,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2007-04-17,1,
67,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-K,2007-08-30,1,
68,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2007-10-16,1,
69,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2008-01-15,1,
70,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2008-04-15,1,
71,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2008-08-29,1,
72,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2008-10-14,1,
73,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-01-13,1,
74,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-04-14,1,
75,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2009-08-27,1,
76,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2009-10-13,1,
77,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-01-12,1,
78,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-06-15,1,
79,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-09-14,1,
80,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2010-12-14,1,
81,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2011-04-14,1,
82,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-06-14,1,
83,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-09-13,1,
84,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2011-12-13,1,
85,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2012-06-12,1,
86,1368775,"Burlington Coat Factory Investments Holdings, Inc. (CIK 0001368775)",10-Q,2012-09-11,1,
87,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-Q,2012-12-11,1,
88,718916,BURLINGTON COAT FACTORY WAREHOUSE CORP (CIK 0000718916),10-K,2013-04-26,1,
